Thread ID: 109440
Total: 0.037897

 %self     total     self     wait    child    calls  name
 44.34      0.04     0.02     0.00     0.02        1  ActiveSupport::Testing::Performance::Profiler#run
  3.56      0.00     0.00     0.00     0.00      536  Hash#default
  2.16      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::RouteSet>#recognize_optimized
  1.62      0.00     0.00     0.00     0.00      153  Hash#[]
  1.15      0.00     0.00     0.00     0.00       16  Array#each
  0.68      0.02     0.00     0.00     0.02        1  ActionController::Integration::Session#process
  0.53      0.00     0.00     0.00     0.00       19  ActionController::Base#response
  0.52      0.00     0.00     0.00     0.00        5  MonitorMixin#mon_exit
  0.49      0.00     0.00     0.00     0.00       16  HashWithIndifferentAccess#convert_key
  0.47      0.00     0.00     0.00     0.00       17  String#split
  0.47      0.00     0.00     0.00     0.00        7  Hash#each
  0.46      0.00     0.00     0.00     0.00       51  Hash#[]=
  0.45      0.00     0.00     0.00     0.00       11  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool
  0.42      0.00     0.00     0.00     0.00       59  Array#[]
  0.41      0.00     0.00     0.00     0.00        3  ActionView::Base#_pick_template
  0.39      0.00     0.00     0.00     0.00       13  ActiveSupport::BufferedLogger#buffer
  0.39      0.00     0.00     0.00     0.00       16  Class#new
  0.39      0.01     0.00     0.00     0.01        1  ActionController::Benchmarking#perform_action_without_rescue
  0.38      0.00     0.00     0.00     0.00        2  CGI::Cookie#initialize
  0.35      0.00     0.00     0.00     0.00        1  ActionView::Base::CompiledTemplates#_run_erb_app47views47home47index46erb
  0.34      0.00     0.00     0.00     0.00       32  Regexp#match
  0.34      0.00     0.00     0.00     0.00        3  ActiveSupport::BufferedLogger#add
  0.34      0.00     0.00     0.00     0.00        1  CGI::Session#initialize_without_cgi_reader
  0.33      0.00     0.00     0.00     0.00        9  String#gsub
  0.32      0.00     0.00     0.00     0.00        5  MonitorMixin#mon_enter
  0.32      0.00     0.00     0.00     0.00        5  Mutex#synchronize-1
  0.32      0.00     0.00     0.00     0.00        5  MonitorMixin#synchronize
  0.31      0.00     0.00     0.00     0.00       25  Kernel#respond_to?
  0.30      0.00     0.00     0.00     0.00        2  ActionView::Helpers::UrlHelper#link_to
  0.29      0.00     0.00     0.00     0.00        1  ActionController::Base#render_without_benchmark-1
  0.29      0.00     0.00     0.00     0.00       32  <Class::Thread>#current
  0.28      0.00     0.00     0.00     0.00        1  CGI#initialize_without_stdinput
  0.27      0.00     0.00     0.00     0.00        5  MonitorMixin#mon_release
  0.27      0.00     0.00     0.00     0.00        8  ActionController::Base#request
  0.27      0.00     0.00     0.00     0.00        6  HashWithIndifferentAccess#convert_value
  0.26      0.00     0.00     0.00     0.00        6  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection
  0.25      0.00     0.00     0.00     0.00        3  Hash#each_pair
  0.24      0.00     0.00     0.00     0.00        6  ActiveRecord::ConnectionAdapters::ConnectionPool#connection
  0.24      0.00     0.00     0.00     0.00       29  Module#===
  0.24      0.00     0.00     0.00     0.00        4  <Class::CGI>#unescape
  0.23      0.00     0.00     0.00     0.00        3  ActionController::Base#default_template_name
  0.23      0.00     0.00     0.00     0.00       34  Array#size
  0.22      0.00     0.00     0.00     0.00        5  ActiveRecord::ConnectionAdapters::ConnectionHandler#connected?
  0.22      0.00     0.00     0.00     0.00       35  Fixnum#+
  0.21      0.00     0.00     0.00     0.00        1  ActionView::Renderable#render
  0.21      0.00     0.00     0.00     0.00        3  IO#write
  0.21      0.00     0.00     0.00     0.00        1  ActionView::Base#_unmemoized__pick_template
  0.20      0.00     0.00     0.00     0.00        1  ActionController::Benchmarking#render
  0.20      0.00     0.00     0.00     0.00       18  String#to_s
  0.20      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing_for_request_id
  0.20      0.00     0.00     0.00     0.00        3  ActionController::AbstractResponse#content_type
  0.20      0.00     0.00     0.00     0.00       20  Symbol#to_s
  0.20      0.00     0.00     0.00     0.00        1  ActionController::Benchmarking#render-1
  0.20      0.01     0.00     0.00     0.01        1  <Module::Benchmark>#measure
  0.20      0.00     0.00     0.00     0.00        6  ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id
  0.19      0.00     0.00     0.00     0.00        3  ActionController::AbstractResponse#charset
  0.18      0.00     0.00     0.00     0.00        1  #<Module:0x2833b44>#tools_path
  0.18      0.00     0.00     0.00     0.00        1  ActionController::Base#render_for_text
  0.18      0.00     0.00     0.00     0.00        4  ActionController::AbstractRequest#request_method
  0.18      0.00     0.00     0.00     0.00       17  Kernel#is_a?
  0.18      0.00     0.00     0.00     0.00        3  HashWithIndifferentAccess#initialize
  0.17      0.00     0.00     0.00     0.00        1  ActionController::RackRequest#stale_session_check!
  0.17      0.00     0.00     0.00     0.00        1  CGI::Session::CookieStore#initialize
  0.17      0.00     0.00     0.00     0.00        5  <Class::ActiveRecord::Base>#connected?
  0.17      0.02     0.00     0.00     0.02       10  Kernel#__send__-1
  0.17      0.00     0.00     0.00     0.00        6  Class#new-1
  0.17      0.00     0.00     0.00     0.00        1  ActionView::Base#render
  0.17      0.00     0.00     0.00     0.00       11  <Class::ActiveRecord::Base>#connection_handler
  0.17      0.00     0.00     0.00     0.00        6  <Class::ActiveRecord::Base>#retrieve_connection
  0.17      0.00     0.00     0.00     0.00       10  ActionController::Base#logger
  0.17      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#_unmemoized_remote_ip
  0.17      0.01     0.00     0.00     0.01        1  ActionController::Base#process_without_filters
  0.17      0.00     0.00     0.00     0.00       17  Hash#delete
  0.16      0.00     0.00     0.00     0.00       30  Fixnum#<
  0.16      0.00     0.00     0.00     0.00       19  String#==
  0.16      0.00     0.00     0.00     0.00       20  Array#empty?
  0.16      0.00     0.00     0.00     0.00       16  Kernel#class
  0.16      0.00     0.00     0.00     0.00        1  ActionController::Layout#pick_layout
  0.16      0.00     0.00     0.00     0.00        1  #<Module:0x2833b44>#people_path
  0.16      0.00     0.00     0.00     0.00        5  MonitorMixin#mon_check_owner
  0.16      0.00     0.00     0.00     0.00        5  Class#read_inheritable_attribute
